abbr.,appName,coreF,memF,time/ms,warps,achieved_occupancy,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,flop_count_sp,inst_issued,inst_per_warp
convT,convolutionTexture,400,900,1.6648,147456,0.848107,602350,591544,1193114,589841,0,0,250085376,14011570,95
convT,convolutionTexture,400,1000,1.6642,147456,0.84991,601353,591564,1193274,589830,0,0,250085376,14011717,95
convT,convolutionTexture,500,400,2.3798,147456,0.832545,614312,591672,1188534,589830,0,0,250085376,14011795,95
convT,convolutionTexture,500,500,1.9467,147456,0.835108,608108,591457,1180119,589830,0,0,250085376,14011584,95
convT,convolutionTexture,500,600,1.5491,147456,0.836958,601818,591498,1199204,589830,0,0,250085376,14011548,95
convT,convolutionTexture,500,700,1.4301,147456,0.839694,606732,591380,1192450,589830,0,0,250085376,14011452,95
convT,convolutionTexture,500,800,1.3918,147456,0.842504,603283,591535,1184570,589830,0,0,250085376,14011412,95
convT,convolutionTexture,500,900,1.3848,147456,0.844993,589984,592263,1177015,589830,0,0,250085376,14011356,95
convT,convolutionTexture,500,1000,1.3824,147456,0.846116,604651,591789,1199203,589830,0,0,250085376,14011363,95
convT,convolutionTexture,600,400,2.3272,147456,0.830407,608237,591475,1192324,589830,0,0,250085376,14011861,95
convT,convolutionTexture,600,500,1.8898,147456,0.831805,607824,591459,1189248,589830,0,0,250085376,14011691,95
convT,convolutionTexture,600,600,1.4743,147456,0.833772,613123,591862,1197316,589830,0,0,250085376,14011546,95
convT,convolutionTexture,600,700,1.2968,147456,0.835026,603741,591150,1193596,589830,0,0,250085376,14011446,95
convT,convolutionTexture,600,800,1.2038,147456,0.836532,589988,592210,1177081,589830,0,0,250085376,14011374,95
convT,convolutionTexture,600,900,1.1646,147456,0.839146,589994,592288,1176956,589830,0,0,250085376,14011331,95
convT,convolutionTexture,600,1000,1.1548,147456,0.841214,589988,592293,1177000,589833,0,0,250085376,14011318,95
convT,convolutionTexture,700,400,2.2343,147456,0.828664,589988,592194,1176982,589830,0,0,250085376,14011894,95
convT,convolutionTexture,700,500,1.8444,147456,0.829903,608354,591626,1201920,589830,0,0,250085376,14011756,95
convT,convolutionTexture,700,600,1.417,147456,0.830128,601662,591618,1187189,589830,0,0,250085376,14011610,95
convT,convolutionTexture,700,700,1.2342,147456,0.832237,589983,592693,1177057,589830,0,0,250085376,14011551,95
convT,convolutionTexture,700,800,1.1121,147456,0.832741,589991,592709,1177078,589832,0,0,250085376,14011417,95
convT,convolutionTexture,700,900,1.0392,147456,0.83329,589992,592707,1177042,589830,0,0,250085376,14011403,95
convT,convolutionTexture,700,1000,1.0011,147456,0.835021,589984,592697,1177037,589830,0,0,250085376,14011313,95
convT,convolutionTexture,800,400,2.2099,147456,0.827485,589987,592707,1177086,589830,0,0,250085376,14012073,95
convT,convolutionTexture,800,500,1.7832,147456,0.827757,589992,592589,1176990,589830,0,0,250085376,14011900,95
