,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,act_util,c_to_m,inst_per_warp,real_cycle
46,matrixMulShared,0.04050665723042836,0.08303169303495869,0.5170463725965423,0.08272741961544676,0.6618243963426795,0.0,0.13927936661819357,0.9963879999999999,1.681118881118881,6189.0,49.37457744211959
47,matrixMulShared,0.04021653683702941,0.0830643950188212,0.5170463725965423,0.08272741961544676,0.6618243963426795,0.0,0.13927936661819357,0.9962479999999999,1.8573426573426572,6189.0,50.27733786681208
48,matrixMulShared,0.03950436879175124,0.0831635574239736,0.5170463725965423,0.08272741961544676,0.6618243963426795,0.0,0.13927936661819357,0.996375,0.848951048951049,6189.0,48.35392057607246
49,matrixMulShared,0.03959391956511174,0.08312921713580798,0.5170463725965423,0.08272741961544676,0.6618243963426795,0.0,0.13927936661819357,0.9966010000000001,1.132867132867133,6189.0,48.94327121165703
50,mergeSort,0.020508497189252805,0.02051574511405749,0.20410128862429888,0.010256410256410256,0.0,0.0,0.610897435897436,0.980815,1.4153846153846155,1560.0,47.858612504427086
51,mergeSort,0.020506961529071513,0.020516478709685496,0.20410128862429888,0.010256410256410256,0.0,0.0,0.610897435897436,0.980822,1.681118881118881,1560.0,48.01639053803285
52,mergeSort,0.020506560496794873,0.02051574511405749,0.20410128862429888,0.010256410256410256,0.0,0.0,0.610897435897436,0.98009,1.8573426573426572,1560.0,48.36067982139423
53,mergeSort,0.020510365412785458,0.020516644991361178,0.20410128862429888,0.010256410256410256,0.0,0.0,0.610897435897436,0.98069,0.848951048951049,1560.0,47.62737437882111
54,mergeSort,0.02050894712790465,0.02051544189453125,0.20410128862429888,0.010256410256410256,0.0,0.0,0.610897435897436,0.980727,1.132867132867133,1560.0,47.7985947279447
55,nn,0.292758476443407,0.2926997673220751,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.85687,1.4153846153846155,41.0,53.48899621086129
56,nn,0.2927581973192168,0.2927023724811833,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.8718950000000001,1.681118881118881,41.0,64.66637209561739
57,nn,0.29273661171517723,0.29270172119140625,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.879561,1.8573426573426572,41.0,72.22122298797257
58,nn,0.293903071705888,0.2926980925769341,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.8178890000000001,0.848951048951049,41.0,38.647478028556115
59,nn,0.29276359372022676,0.2926998603634718,0.0,0.1951219512195122,0.2926829268292683,0.0,0.4146341463414634,0.8362700000000001,1.132867132867133,41.0,42.740814753144065
