,appName,n_dm,n_l2,n_shm,tex_trans,n_flop_sp,n_flop_dp,n_int,branch,act_util,warp_eff,sm_act,coreF,memF,avg_power
573,matrixMulGlobal,0.0009898341705726055,0.1707765967769008,0.0,0.27271873095228427,0.06817968273807107,0.0,0.4527557056825031,0.00027673027966807406,0.976142,1.0,0.9893,2.0,1.6,1.7815741220825494
574,matrixMulGlobal,0.0010286854406379748,0.17046998624776158,0.0,0.27212560246035983,0.06803140061508996,0.0,0.4517710197095817,0.0002761284265688161,0.975309,1.0,0.9881,2.0,1.8,1.7865325867165698
575,matrixMulGlobal,0.0009765134270026046,0.1701322765999851,0.0,0.27173728351436677,0.06793432087859169,0.0,0.45112634958439796,0.00027573439565590504,0.975152,1.0,0.9867,2.0,2.0,1.7933838153422836
576,matrixMulShared,0.005535323273334106,0.05433432812078795,0.3292487189402917,0.052679795030446674,0.4214383602435734,0.0,0.09753993298606141,0.00023150300550489259,0.982224,1.0,0.9784,1.0,1.0,1.0
577,matrixMulShared,0.005519428446927257,0.054367295167472865,0.32944848874077814,0.0527117581985245,0.421694065588196,0.0,0.0975991147894555,0.0002316434686458596,0.979796,1.0,0.9814,1.0,1.2,1.0310416166487026
578,matrixMulShared,0.005517455611327229,0.05429495592018999,0.3289891465234659,0.05263826344375454,0.4211061075500363,0.0,0.09746303465757676,0.00023132049364931194,0.978938,1.0,0.9809,1.0,1.4,1.0404724079626892
579,matrixMulShared,0.005527180791464824,0.05433713762163929,0.32927244166335357,0.05268359066613657,0.4214687253290926,0.0,0.0975469608427685,0.0002315196855445455,0.979382,1.0,0.9813,1.0,1.6,1.0468816885724064
580,matrixMulShared,0.005527850466693943,0.05433914386257121,0.3292435002410701,0.05267896003857121,0.4214316803085697,0.0,0.097538386946417,0.00023149933610700237,0.980203,1.0,0.9804,1.0,1.8,1.0528041560458312
581,matrixMulShared,0.005543381182709043,0.05432265440913349,0.3291633708955674,0.0526661393432908,0.4213291147463264,0.0,0.09751464862781187,0.00023144299516094586,0.978282,1.0,0.9821,1.0,2.0,1.0597901544214179
582,matrixMulShared,0.005539248118183911,0.05431421947718437,0.3291028272925324,0.052656452366805176,0.4212516189344414,0.0,0.09749671258541272,0.00023140042544006183,0.985021,1.0,0.9752,1.2,1.0,1.0838411752987032
583,matrixMulShared,0.005526951342712027,0.0545207943270108,0.33035787345838347,0.05285725975334135,0.4228580780267308,0.0,0.0978685200120461,0.00023228287977542587,0.983699,1.0,0.9802,1.2,1.2,1.0857978780464133
584,matrixMulShared,0.005537920360322884,0.054445276680791056,0.32989723920057495,0.05278355827209199,0.4222684661767359,0.0,0.09773205711317033,0.00023195899631290427,0.981746,1.0,0.9808,1.2,1.4,1.095508344273433
585,matrixMulShared,0.005520603568829785,0.05441604109624896,0.32974387354000495,0.05275901976640079,0.4220721581312063,0.0,0.09768662253622645,0.00023185116108281596,0.979473,1.0,0.9826,1.2,1.6,1.1030437314507846
586,matrixMulShared,0.0055364369310256295,0.0544606225859749,0.3300158540285557,0.05280253664456892,0.4224202931565514,0.0,0.09776719675595966,0.00023204239736382827,0.979395,1.0,0.9835,1.2,1.8,1.1091434540745695
587,matrixMulShared,0.005538837444039472,0.05442034214651845,0.329769021787482,0.05276304348599713,0.422104347887977,0.0,0.09769407270454156,0.00023186884344432332,0.979267,1.0,0.9829,1.2,2.0,1.1177426275649636
588,matrixMulShared,0.00555813392413396,0.05459898359428185,0.33083072808621233,0.052932916493793974,0.4234633319503518,0.0,0.0980086031955404,0.00023261535568561807,0.987246,1.0,0.9781,1.4,1.0,1.134958087074677
589,matrixMulShared,0.005527265608589024,0.05459987737053375,0.3308413438103282,0.05293461500965252,0.42347692007722015,0.0,0.09801174810380973,0.00023262281986663702,0.983124,1.0,0.9822,1.4,1.2,1.158151182807783
590,matrixMulShared,0.005548018476335427,0.054512011918536336,0.3302976343466343,0.052847621495461496,0.42278097196369196,0.0,0.09785067417519042,0.00023224052414997729,0.983443,1.0,0.9803,1.4,1.4,1.1771271895097641
591,matrixMulShared,0.005497687555708909,0.05426884003855082,0.32885765941122586,0.05261722550579614,0.4209378040463691,0.0,0.09742408160057565,0.00023122804177351817,0.980023,1.0,0.9794,1.4,1.6,1.18291607709322
592,matrixMulShared,0.005517664592664517,0.05425308079896092,0.3287354128172636,0.052597666050762173,0.4207813284060974,0.0,0.09738786604711433,0.00023114208713713845,0.980687,1.0,0.9784,1.4,1.8,1.1908825978351378
593,matrixMulShared,0.005573669095753986,0.054276515417440475,0.32889078978537695,0.05262252636566031,0.4209802109252825,0.0,0.09743389647391792,0.0002312513365678432,0.980201,1.0,0.9794,1.4,2.0,1.2021840184304484
