appName,coreF,memF,kernel,achieved_occupancy,eligible_warps_per_cycle,dram_read_transactions,dram_write_transactions,l2_read_transactions,l2_write_transactions,shared_load_transactions,shared_store_transactions,branch_efficiency,cf_executed,flop_count_sp,time/ms,time(pred)/ms,power/W,power(pred)/W
conjugateGradient,700,1000,csrMv_kernel,0.916724,2.254748,1048631,153300,1603664,131078,786432,262144,1,1310720,16777210,0.78283,0.781138843,54.8128,54.2366015
conjugateGradient,800,500,csrMv_kernel,0.918975,0.891111,1048642,153306,1599929,131078,786432,262144,1,1310720,16777210,1.5841,1.566760015,48.27,47.09655972
conjugateGradient,800,600,csrMv_kernel,0.91935,1.180086,1048640,136953,1601236,131078,786432,262144,1,1310720,16777210,1.2472,1.292630435,51.69865714,50.69573753
conjugateGradient,800,700,csrMv_kernel,0.920029,1.386525,1048636,153286,1601917,131091,786432,262144,1,1310720,16777210,1.0663,1.096467633,53.80234286,52.78153153
conjugateGradient,800,800,csrMv_kernel,0.919007,1.59291,1048643,153193,1602591,131078,786432,262144,1,1310720,16777210,0.9407,0.95825289,56.10047222,55.06032296
conjugateGradient,800,900,csrMv_kernel,0.916829,1.803484,1048643,153226,1603047,131078,786432,262144,1,1310720,16777210,0.8319,0.850041055,58.21,56.69030115
conjugateGradient,800,1000,csrMv_kernel,0.915598,2.014049,1048634,153328,1603399,131078,786432,262144,1,1310720,16777210,0.75581,0.768542089,59.50961111,57.99824741
conjugateGradient,900,500,csrMv_kernel,0.918204,0.778211,1048644,153256,1599444,131078,786432,262144,1,1310720,16777210,1.5792,1.55696254,51.32,49.42911828
conjugateGradient,900,600,csrMv_kernel,0.919064,1.036997,1048636,129060,1600753,131078,786432,262144,1,1310720,16777210,1.2437,1.28283296,54.91657143,54.40668607
conjugateGradient,900,700,csrMv_kernel,0.9194,1.211566,1048640,152736,1601480,131078,786432,262144,1,1310720,16777210,1.057,1.086670157,57.90672222,56.23456396
conjugateGradient,900,800,csrMv_kernel,0.917975,1.402119,1048639,153325,1602188,131078,786432,262144,1,1310720,16777210,0.92282,0.948455415,60.29148571,59.06165874
conjugateGradient,900,900,csrMv_kernel,0.916318,1.583153,1048636,153196,1602613,131078,786432,262144,1,1310720,16777210,0.81814,0.84024358,62.094,61.2829559
conjugateGradient,900,1000,csrMv_kernel,0.914693,1.773526,1048646,153184,1603014,131078,786432,262144,1,1310720,16777210,0.73926,0.758744613,63.8622,63.01225902
conjugateGradient,1000,500,csrMv_kernel,0.918228,0.703432,1048632,153148,1598935,131078,786432,262144,1,1310720,16777210,1.5746,1.549124559,53.8492,53.04880467
conjugateGradient,1000,600,csrMv_kernel,0.918983,0.939512,1048640,128675,1600473,131078,786432,262144,1,1310720,16777210,1.2398,1.274994979,57.41645714,59.27537789
conjugateGradient,1000,700,csrMv_kernel,0.919038,1.096849,1048641,152862,1601055,131078,786432,262144,1,1310720,16777210,1.0511,1.078832176,60.4838,60.91851751
conjugateGradient,1000,800,csrMv_kernel,0.91788,1.271561,1048639,153186,1601797,131091,786432,262144,1,1310720,16777210,0.9154,0.940617434,62.94574286,63.92721237
conjugateGradient,1000,900,csrMv_kernel,0.915785,1.444836,1048634,153622,1602275,131078,786432,262144,1,1310720,16777210,0.80646,0.832405599,65.46094286,66.57641718
conjugateGradient,1000,1000,csrMv_kernel,0.91414,1.614056,1048637,153670,1602765,131078,786432,262144,1,1310720,16777210,0.7302,0.750906632,67.4285,68.56256553
convolutionSeparable,500,500,convolutionRowsKernel,0.911461,0.368204,1204964,1177493,1502325,1179654,9510912,737280,1,36864,320864256,3.131,3.21314112,37.87322222,39.6950697
convolutionSeparable,500,600,convolutionRowsKernel,0.911897,0.48543,1180223,1175667,1462710,1179655,9510912,737280,1,36864,320864256,2.5466,2.66683338,39.017,39.6502613
convolutionSeparable,500,700,convolutionRowsKernel,0.912806,0.606286,1192287,1176308,1475771,1179654,9510912,737280,1,36864,320864256,2.1225,2.275927071,40.231,40.29067378
convolutionSeparable,500,800,convolutionRowsKernel,0.908708,0.781185,1197423,1178434,1483776,1179654,9510912,737280,1,36864,320864256,1.8461,1.99992582,41.30457143,39.93645833
convolutionSeparable,500,900,convolutionRowsKernel,0.90649,1.075903,1180065,1181450,1462441,1179654,9510912,737280,1,36864,320864256,1.644,1.78388604,42.398,40.24552291
convolutionSeparable,500,1000,convolutionRowsKernel,0.907226,1.782625,1200762,1181687,1485124,1179654,9510912,737280,1,36864,320864256,1.5121,1.62083304,43.41586111,42.26192125
convolutionSeparable,600,500,convolutionRowsKernel,0.907912,0.306642,1220227,1177742,1513261,1179658,9510912,737280,1,36864,320864256,3.1487,3.1705056,38.306,38.94627991
convolutionSeparable,600,600,convolutionRowsKernel,0.90861,0.384977,1208345,1174143,1480630,1179687,9510912,737280,1,36864,320864256,2.5481,2.62419786,39.52,39.89431519
