,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,depart_delay,mem_l,g_load,g_store,sync,compute,shared,exec_rounds,abe
821,SobolQRNG,900,600,,1.5,658069.9388376371,5430993.854976001,14.268959447259414,611.2577895862596,627.9239342206586,89778.32069605736,875.1735002549648,7523.75505,97802.17152000002,2.005323572594638,0.8788306603892216
813,SobolQRNG,800,500,,1.6,667094.5874064933,5549358.428979199,15.650820798943213,633.5658748591384,651.46258844273,98435.59199991767,960.3724270193386,7523.76855,97846.655808,2.0044118869514262,0.8797888808329857
828,SobolQRNG,1000,600,,1.6666666666666667,668550.2386355472,6044251.553792,15.853292067478025,648.3357709214392,668.8023709805534,99715.70850686626,973.055282193301,7523.722349999999,97872.261888,2.00388747758211,0.889390732221243
805,SobolQRNG,700,400,,1.75,681699.6952845205,6387298.419712,17.83035625,667.185,2250.779175165625,112089.14361249687,1095.799490842,7497.4671,97994.97024,2.00137822910369,0.893272609092334
820,SobolQRNG,900,500,,1.8,680001.1399979918,6234010.2144,17.604367145098042,678.0246174253535,701.1655580375849,110688.12860977094,1081.1898125833413,7523.7110999999995,97930.704,2.0026916175339657,0.8909207529966424
812,SobolQRNG,800,400,,2.0,696878.7407054686,7070315.610111999,20.36811111525095,722.6360192803991,748.1674465633662,128003.02348281693,1249.4627118130659,7523.735549999999,97817.836416,2.0050024329501523,0.9014359783729047
827,SobolQRNG,1000,500,,2.0,691935.7422123103,6914604.53376,19.56029495289007,722.5503042130836,747.988467799317,122955.69411780107,1200.2422317691205,7523.70915,97844.647488,2.0044530287060764,0.8999312630485243
819,SobolQRNG,900,400,,2.25,713239.6958279096,7939148.046336002,22.908602833495312,778.1652515118976,809.7218519150374,143934.72307041052,1405.8463417824523,7523.6901,97854.78950400001,2.0042452801146027,0.9101616833865345
826,SobolQRNG,1000,400,,2.5,729347.6095010454,8820461.910527997,25.456586343388402,833.8859252752837,864.382915714663,159912.87041099288,1561.973778270637,7523.743949999999,97840.229184,2.0045435465115684,0.9173118577122923
6,backprop,400,1000,,0.4,6144.164717039968,5603.071903875,2.901138628118624,327.9155647679642,343.49404528517215,342.42249740870363,176.22435107909914,73.92331237792969,717.7643280000001,33.16966178347052,0.09657074234416951
