,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
192,nn,1000,700,595.5771428571429,1.4285714285714286,1276.1209822136414,2222.307980190476,257.2143038422446,210.78462886783583,1276.1209822136414,1.4352546335112102,235.1947163517971,41.631104,25.003571028571432,1.2493883876417446,28.723246932701652,163.86967919164016,14.699669771987319,163.86967919164016,2.148765786290277,2.148765786290277,0.0,2.0177221339121827,0.42576771825106624
161,nn,600,400,611.49,1.5,1369.8471639075099,2270.8544064000002,247.59553644052255,201.04174719564335,1369.8471639075099,1.5223477783656343,236.24399086656268,45.397632,24.970535314285716,1.246023593316997,30.508121326264877,155.18398241444544,14.765249429160168,155.18398241444544,2.2217648096959737,2.2217648096959737,0.0,1.8503167742317483,0.3967701495759311
184,nn,900,600,611.49,1.5,1303.9891733307352,2256.325632,253.53748972330712,206.9607330877114,1303.9891733307352,1.4693096983719893,235.76765499553971,42.73344,24.99732102857143,1.2487510950936664,29.412431640624998,160.4615114545101,14.735478437221232,160.4615114545101,2.176623351238606,2.176623351238606,0.0,1.9656737206272183,0.42207403273840255
176,nn,800,500,633.768,1.6,1324.1694855671324,2199.272740571428,247.3936041580319,200.27278023362743,1324.1694855671324,1.5388896259581752,237.13830408573344,43.43936,25.024106742857146,1.2514846864032152,30.770922476190478,154.0970191010817,14.82114400535834,154.0970191010817,2.2296511836520874,2.2296511836520874,0.0,1.933730147037157,0.39790574350360985
191,nn,1000,600,648.62,1.6666666666666667,1291.9050966207813,2270.670857142857,248.73420405838687,201.4752976641073,1291.9050966207813,1.5259692608717224,237.09695691002457,42.15168,25.024106742857146,1.2514846864032152,30.5125728546627,155.37466120030558,14.818559806876536,155.37466120030558,2.2193271539401573,2.2193271539401573,0.0,1.992803133825271,0.43104695576779395
168,nn,700,400,667.185,1.75,1337.7973713588344,2286.229997333334,242.75506925435457,195.7593172946984,1337.7973713588344,1.5503486118287508,236.55744270160548,44.356928,24.82678531428572,1.2314891848090057,31.254981873139883,152.58338730833478,14.784840168850343,152.58338730833478,2.2589218248548386,2.2589218248548386,0.0,1.893728979608326,0.414845674792455
183,nn,900,500,678.3240000000001,1.8,1325.1738052510862,2279.024729142857,241.50131309333185,193.7505855614858,1325.1738052510862,1.6066175847120499,238.6602285756776,43.454336,25.003571028571432,1.2493883876417446,32.152673494047626,148.5482487224563,14.91626428597985,148.5482487224563,2.2859232570142467,2.2859232570142467,0.0,1.9330637108342883,0.4185346967474613
175,nn,800,400,722.88,2.0,1327.7270038156878,2228.022476190476,235.82855400237375,187.5028982936988,1327.7270038156878,1.6757683719373908,239.4675777967803,43.524159999999995,25.003571028571432,1.2493883876417446,33.53656391369048,142.9001655640074,14.966723612298768,142.9001655640074,2.3412709678696877,2.3412709678696877,0.0,1.9299625771066002,0.4040782720981047
190,nn,1000,500,722.88,2.0,1279.2918823709308,2243.8669028571426,238.4758785945191,189.98059178730892,1279.2918823709308,1.643287819235915,239.34874981418167,41.608128,24.993749600000005,1.2483870767950056,32.899991547619045,145.652360476616,14.959296863386355,145.652360476616,2.3163287651573112,2.3163287651573112,0.0,2.0188363196729253,0.42987176256221205
182,nn,900,400,778.575,2.25,1301.8211069980182,2283.914592,231.38087014664984,182.26835295227454,1301.8211069980182,1.7370962180523049,240.7117045581188,42.47168,24.983928171428573,1.247386584286192,34.792331170944934,138.57131346933303,15.044481534882426,138.57131346933303,2.3925885045864477,2.3925885045864477,0.0,1.9777884934149061,0.43000447058835634
