,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,g_load,g_store,sync,compute,shared,exec_rounds,abe
153,convolutionSeparable,1900,4500,,0.4222222222222222,15316.649653237657,18281.425375456252,785.4932981836104,746.6364719002568,261.05375835378726,0.0,13523.466124800001,270.6457455249994,0.16217421023411874
140,convolutionSeparable,1700,4000,,0.425,15859.510065970828,19283.972480587498,790.7298351686823,750.9062352205897,277.75487878155604,0.0,14040.1191168,260.6864329982101,0.17758075614679272
157,convolutionSeparable,2000,4500,,0.4444444444444444,15819.717345860783,19916.56576,800.5186162958623,759.5883540286603,284.15094513626076,0.0,13975.4594304,261.8925402528834,0.2057005441353368
148,convolutionSeparable,1800,4000,,0.45,15955.069450210298,20516.245099875003,807.82959701775,765.6652822285367,295.0823853640081,0.0,14086.492185600002,259.82824703300497,0.2223201968713317
152,convolutionSeparable,1900,4000,,0.475,15977.079343855396,21635.5279674625,824.9324376272666,780.441598231094,310.89765359703597,0.0,14060.8076544,260.3028688955317,0.2615350377451755
156,convolutionSeparable,2000,4000,,0.5,16010.891572265416,22901.14393,842.0315683811035,795.1840522111115,326.92753567320005,0.0,14046.748416000002,260.56340321860944,0.30086935302426104
167,convolutionTexture,1600,5500,,0.2909090909090909,2544.3371937913876,4031.6241573770494,587.899766717007,574.7132470032245,171.93657743322765,22.813040870306406,0.0,2208.5392021742646,0.36890516216999797
163,convolutionTexture,1700,5500,,0.3090909090909091,2565.451036143809,4120.930650016394,593.3935096314108,579.3815465778596,182.70935380083097,22.813140409545767,0.0,2208.2220674991945,0.37745833307493226
166,convolutionTexture,1600,5000,,0.32,2579.1171561130664,4165.816474229509,596.986861107432,582.3125508378208,191.16077423935494,22.813002631137785,0.0,2210.6014647952657,0.38088555459225115
171,convolutionTexture,1800,5500,,0.32727272727272727,2586.226263191031,4212.299724786885,598.887284035692,584.0515175092322,193.43816666635,22.81310292509758,0.0,2208.4325921206023,0.3860298572837484
162,convolutionTexture,1700,5000,,0.34,2602.825462569602,4276.18646557377,603.0484791602194,587.4550942710692,203.188595284416,22.813147034314014,0.0,2209.7446114834265,0.3913208688339178
175,convolutionTexture,1900,5500,,0.34545454545454546,2606.970132720734,4328.99647657377,604.3809310949086,588.7236488981191,204.1613750445318,22.812926907520982,0.0,2208.6804763508253,0.3977888069837267
165,convolutionTexture,1600,4500,,0.35555555555555557,2623.6994888320282,4252.053306928962,608.1668893835256,591.6310980372393,215.3781969696996,22.81301504209602,0.0,2210.84716522277,0.38295705640459377
170,convolutionTexture,1800,5000,,0.36,2625.9838823560362,4383.552581704918,609.1103020105849,592.600025046929,215.14113037587455,22.813103092813233,0.0,2209.7419431963494,0.4009461884144439
179,convolutionTexture,2000,5500,,0.36363636363636365,2628.1373963646297,4416.440897923499,609.8745761387733,593.3900472399114,214.94504315167737,22.813150304769223,0.0,2208.2940144371746,0.40491960447148406
161,convolutionTexture,1700,4500,,0.37777777777777777,2649.915352296339,4381.119960306011,614.9272461271598,597.3562372141722,228.88188350932387,22.813132359194476,0.0,2210.443924782096,0.3951511539731388
174,convolutionTexture,1900,5000,,0.38,2648.7579882767936,4492.69654398907,615.1719228668982,597.7444788729188,227.0316479643264,22.813106530984097,0.0,2210.3317913350165,0.4104302477716515
164,convolutionTexture,1600,4000,,0.4,2680.849826291198,4520.356299191258,622.2551029741162,603.3269997981539,246.55882530892805,22.81310091250976,0.0,2210.516016577662,0.40693838077081845
169,convolutionTexture,1800,4500,,0.4,2675.666940864827,4487.408985245902,621.6879723219034,603.0830647463456,242.31180921173336,22.813115252197992,0.0,2210.7456736432,0.4037390062590416
178,convolutionTexture,2000,5000,,0.4,2672.4812840917957,4656.312177049181,621.2973103438356,602.888341995969,239.0989507404288,22.80933024536739,0.0,2209.2590893506467,0.42605195217271435
173,convolutionTexture,1900,4500,,0.4222222222222222,2701.605314366981,4644.131124131147,628.4480475940213,608.8129973105445,255.77263158842783,22.812962798670476,0.0,2210.7536857975383,0.4182754013276457
160,convolutionTexture,1700,4000,,0.425,2710.338313000747,4667.073379622951,629.8959454856742,609.7844731924183,261.96488155622404,22.8131317721897,0.0,2210.5480588851347,0.4192638314121144
177,convolutionTexture,2000,4500,,0.4444444444444444,2727.7663956811084,4759.128777377049,635.208442720135,614.5367638794652,269.2724726192356,22.813135965080992,0.0,2210.4465947647445,0.42683492645801185
168,convolutionTexture,1800,4000,,0.45,2740.1209111187145,4796.080415311474,637.5368346415739,616.2423069051823,277.42648848710405,22.81313822924229,0.0,2210.142258282297,0.42867494415421276
172,convolutionTexture,1900,4000,,0.475,2769.429126643289,4976.588520836065,645.17794165186,622.7019011706558,292.799419224312,22.813047411216825,0.0,2210.4359148728518,0.44350851691913123
176,convolutionTexture,2000,4000,,0.5,2798.1888763914503,5121.616186448086,652.8189365710923,629.1580175400036,308.05472214792,22.81313219147883,0.0,2211.528468292966,0.4536511963165998
187,dxtc,1600,5500,,0.2909090909090909,30542.333421398624,33664.659419999996,769.985734201188,563.1582761926653,61.567091065509025,1349.258246421814,2660.1933615750004,59.61385127834452,0.09274788613326697
183,dxtc,1700,5500,,0.3090909090909091,30567.381445159594,33630.3744984375,786.8649857517271,567.1050255593362,65.4159330899782,1349.2578939437867,2660.22805190625,59.613073892268,0.0910781726031691
186,dxtc,1600,5000,,0.32,30585.501737129733,33705.2481675,799.6238434827148,569.4530903330468,68.51674903339008,1349.25827999115,2660.219379323438,59.61326823688636,0.09255966355347764
191,dxtc,1800,5500,,0.32727272727272727,30590.298055274226,33601.730577187496,803.7332702635912,571.1434820597559,69.25964647980852,1349.2516080856324,2660.071945415625,59.6165722892857,0.08962135194184781
182,dxtc,1700,5000,,0.34,30610.851609916237,33630.813980312494,818.3475911126928,573.7939084788622,72.79379436586753,1349.2584730148317,2660.037255084375,59.6173497666074,0.08979748073193071
195,dxtc,1900,5500,,0.34545454545454546,30617.29568550233,34527.83301515625,820.6051852434304,575.00021346875,73.11343208508933,1349.2584646224977,2660.2800874031254,59.61190785116769,0.11325753712772414
