,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,c1,c2,c3,depart_delay,mem_l,N,compute_cycles,compute_cycles_per_period,mem_cycles,MWP_without_BW,MWP_peak_BW,MWP,CWP_without_OCC,CWP,shm_insts,exec_rounds,abe
87,fastWalshTransform,1600,5500,564.8087272727273,0.2909090909090909,2507.5274701373573,6166.847422421875,18593.606778343717,2747.346893652579,2507.5274701373573,3.3044065333214276,564.7881876100498,53.520512,36.29896669387818,1.1343094112047543,18073.752548150496,427.2992607861361,20.171006700358923,427.2992607861361,498.91369271122073,53.520512,0.0,1399.4314126569961,0.5933858423316417
83,fastWalshTransform,1700,5500,568.8592727272727,0.3090909090909091,2511.2323065723695,6556.82804654541,18697.871780393703,2863.1214770231772,2511.2323065723695,3.5109590591110567,568.8432347715268,53.51008,36.299498558044434,1.1343431706417928,18203.24282347436,405.0483252541492,20.315829813268813,405.0483252541492,502.4736717193656,53.51008,0.0,1399.7042373004435,0.6170050077955819
86,fastWalshTransform,1600,5000,571.2896,0.32,2516.3452588408973,6879.186772499999,18756.76102447532,2961.7171989715193,2516.3452588408973,3.677341284560698,571.2660280814425,53.585024,36.298933649063116,1.1343073137585988,18281.06668957367,388.3689219164268,20.402358145765806,388.3689219164268,504.62544713611743,53.585024,0.0,1397.7466113346468,0.6342089054915397
91,fastWalshTransform,1800,5500,572.9098181818182,0.32727272727272727,2515.7668910675065,6955.213925830077,18805.178965733914,2982.834412403171,2515.7668910675065,3.7174357961118836,572.8870415823565,53.52460799999999,36.29881510734558,1.134299789619077,18333.002430314846,385.27029988086593,20.46025148508416,385.27029988086593,506.0578751978298,53.52460799999999,0.0,1399.3243204001742,0.6382905086895282
82,fastWalshTransform,1700,5000,575.7452,0.34,2522.355942331821,7312.106301120604,18876.56510261158,3098.7579520906797,2522.355942331821,3.9072436741766454,575.7309467460576,53.626431999999994,36.29972987174988,1.1343578533188337,18423.53167877674,368.3740986971964,20.561819526644914,368.3740986971964,508.53908483255077,53.626431999999994,0.0,1396.6673321522812,0.6550438630869929
95,fastWalshTransform,1900,5500,576.9603636363636,0.34545454545454546,2519.7012716520035,7341.31154845703,18914.625433122997,3104.081280274082,2519.7012716520035,3.923938671816809,576.9351079427752,53.521407999999994,36.298861265182495,1.1343027193664947,18462.52070516413,367.5739838179291,20.604825283670543,367.5739838179291,509.6253414476447,53.521407999999994,0.0,1399.40798482517,0.6567777766928329
85,fastWalshTransform,1600,4500,579.2106666666666,0.35555555555555557,2529.251379728545,7570.630603593751,18966.121675531198,3244.721799469159,2529.251379728545,4.143661968633993,579.1857565757374,53.722623999999996,36.2987783908844,1.1342974591436632,18534.58742733256,349.4407609500738,20.68520559199062,349.4407609500738,511.6118786627567,53.722623999999996,0.0,1394.1665566128288,0.6659127208600141
90,fastWalshTransform,1800,5000,580.2008,0.36,2524.439004335087,7775.996282578126,19007.9098753069,3235.426084049917,2524.439004335087,4.1368894358028,580.1632866605747,53.590016000000006,36.280558633804326,1.1331416101190588,18575.478961237717,350.6035728436073,20.720117380734813,350.6035728436073,512.9953953501162,53.590016000000006,0.0,1397.6164088901505,0.6753549111139607
99,fastWalshTransform,2000,5500,581.0109090909091,0.36363636363636365,2523.342390085539,7731.71570390625,19026.051074344574,3226.8299585799277,2523.342390085539,4.130532460828971,580.9945766668594,53.508672,36.29968266487122,1.1343548568384592,18591.994062420235,351.6462963168782,20.749806309530694,351.6462963168782,513.1806224607169,53.508672,0.0,1399.7410684063643,0.6736374581374371
81,fastWalshTransform,1700,4500,584.1613333333333,0.37777777777777777,2534.779214793057,8059.1429880065925,19104.26499630851,3403.499440287464,2534.779214793057,4.402706097462599,584.1440481596579,53.737152,36.299563598632815,1.1343472990847703,18692.84128771019,331.69602695959895,20.862287434273497,331.69602695959895,515.9604963409047,53.737152,0.0,1393.7896395083555,0.6854778208346409
94,fastWalshTransform,1900,5000,584.6564,0.38,2529.737236051174,8189.880961556396,19123.729029336493,3373.8108374810936,2529.737236051174,4.366882473854532,584.6382106031944,53.58534399999999,36.299086284637454,1.134317001995184,18708.908369224548,334.69999141467025,20.879936092971228,334.69999141467025,516.4098982690525,53.58534399999999,0.0,1397.738264296404,0.6911142850639889
84,fastWalshTransform,1600,4000,589.112,0.4,2542.49729515509,8684.683923808594,19238.73490973914,3618.099342344897,2542.49729515509,4.7429240090930715,589.0982202166591,53.813184,36.29963755607605,1.1343519935424993,18851.337151542662,310.5142624503617,21.03922215059497,310.5142624503617,520.3257679893063,53.813184,0.0,1391.8203709017796,0.7072435430626358
89,fastWalshTransform,1800,4500,589.112,0.4,2538.4187132671923,8556.258181508792,19244.80083053968,3561.593360094238,2538.4187132671923,4.661686626577335,589.0946043665446,53.70105600000001,36.299548912048344,1.1343463668543774,18851.268915618897,315.9235334524538,21.039093013090877,315.9235334524538,520.3251563895299,53.70105600000001,0.0,1394.7264968920854,0.7033260732181912
98,fastWalshTransform,2000,5000,589.112,0.4,2535.109220440157,8653.654638159178,19258.977811015375,3519.391946286879,2535.109220440157,4.59675704639633,589.0981068119131,53.635647999999996,36.2820472240448,1.1332360004099307,18860.753914642333,320.38788479899216,21.03921810042547,320.38788479899216,520.8370918315478,53.635647999999996,0.0,1396.4273483614054,0.7070475623950448
93,fastWalshTransform,1900,4500,594.0626666666667,0.4222222222222222,2544.1565371138017,9075.34342421875,19387.303456533453,3724.9941024055593,2544.1565371138017,4.9206777017311385,594.0462007573564,53.72288,36.29943771362305,1.1343393085637872,19009.782082495374,301.81117153251347,21.215935741334157,301.81117153251347,524.6935688224469,53.72288,0.0,1394.1599131373023,0.7196627809891596
80,fastWalshTransform,1700,4000,594.6815,0.425,2547.575151689316,9229.63397751343,19399.39243113202,3803.8538586766786,2547.575151689316,5.039317787590138,594.664001586737,53.800128,36.29937739372254,1.1343354797927363,19029.5846339941,295.0121557382038,21.238000056669176,295.0121557382038,525.2399732532327,53.800128,0.0,1392.1581323056648,0.7239787452139395
97,fastWalshTransform,2000,4500,599.0133333333333,0.4444444444444444,2549.2731621703256,9557.772645996096,19531.174317724563,3888.9387619897097,2549.2731621703256,5.179648869060078,598.9957886924319,53.727168000000006,36.29964962005616,1.134352759306979,19168.05603462219,289.1102292041701,21.392706739015427,289.1102292041701,529.0507177135815,53.727168000000006,0.0,1394.0486443336397,0.7332774845572145
88,fastWalshTransform,1800,4000,600.251,0.45,2552.0994244459052,9792.60399248291,19561.792470717155,3990.3383173423413,2552.0994244459052,5.3357207713453185,600.2310305358127,53.771072,36.299599790573126,1.1343495963701304,19207.61135725212,281.2324033892771,21.436822519136168,281.2324033892771,530.1411329069327,53.771072,0.0,1392.9104056970582,0.7393850066432818
92,fastWalshTransform,1900,4000,605.8205,0.475,2557.304171935825,10330.193155847168,19726.108489509807,4179.667246191725,2557.304171935825,5.63217689526876,605.8028959763062,53.76096,36.299598741531376,1.1343495297820825,19385.91365628028,268.90264068463625,21.635817713439508,268.90264068463625,535.053111559614,53.76096,0.0,1393.1724008329784,0.752443721685076
96,fastWalshTransform,2000,4000,611.39,0.5,2563.075387537643,10945.990480468749,19891.74648831859,4371.504387301242,2563.075387537643,5.928579136209992,611.3700633849944,53.766783999999994,36.29946184158325,1.1343408400758814,19564.141131906512,257.80631806486673,21.834645120892656,257.80631806486673,539.965046294284,53.766783999999994,0.0,1393.0214928660364,0.7658434481456006
107,gaussian,1600,5500,564.8087272727273,0.2909090909090909,690.143928812701,5268.065758867188,12381.37955979927,894.4779607661332,690.143928812701,1.8336658209521892,325.2182493616399,26.623808,13.706742455889897,0.3652009871787799,12206.10825943132,443.39901748394914,11.614937477201424,443.39901748394914,891.5185385011927,26.623808,0.0,2813.2071007380205,0.8689948150986814
103,gaussian,1700,5500,568.8592727272727,0.3090909090909091,696.301310080254,5624.290290270997,12417.555956563197,924.735986781518,696.301310080254,1.8950349466327343,326.3152055069653,26.99104,13.707737996508792,0.36523631945886426,12246.983947252793,430.4870552477027,11.654114482391618,430.4870552477027,894.4358061389825,26.99104,0.0,2774.9314481504125,0.8761974801896821
