,appName,coreF,memF,cold_miss,c_to_m,modelled_cycle,real_cycle,mem_del,mem_lat,shm_del,shm_lat,compute_del,compute_lat,sm_del,sm_lat,insts,abe
208,quasirandomGenerator,1709,3500,608.7802914285714,0.48828571428571427,57579.71375445603,70570.46331360665,56970.93346302746,156946.53176894478,28.0,0.0,44155.34323200001,18404.0,44183.34323200001,18404.0,4601.0,0.18408196502014298
216,quasirandomGenerator,1809,3500,615.1454342857143,0.5168571428571429,61022.86897096342,75025.47697507798,60407.7235366777,158629.9467221098,28.0,0.0,44242.136496,18404.0,44270.136496,18404.0,4601.0,0.18663804041880278
220,quasirandomGenerator,1909,3500,621.5105771428572,0.5454285714285714,64599.67516266168,79300.81377139835,63978.164585518825,160360.84302058868,28.0,0.0,44396.950944000004,18404.0,44424.950944000004,18404.0,4601.0,0.1853844608848007
231,reduction,1609,5000,571.690604,0.3218,2047.4427880000003,3092.7089327034964,1178.9322481498648,3224.103867802868,356.54032,157.5,1119.211864,305.5,1475.7521840000002,463.0,76.375,0.33797753602042824
227,reduction,1709,5000,576.146204,0.3418,2051.846182,3294.7182789874955,1234.267107371324,3242.951081419023,356.52844000000005,157.5,1119.1715380000003,305.5,1475.6999780000003,463.0,76.375,0.37723167559244064
230,reduction,1609,4500,579.6562266666667,0.35755555555555557,2055.867190666667,3136.566900607178,1280.7843658113716,3257.870798511829,356.64472,157.5,1119.566244,305.5,1476.210964,463.0,76.375,0.3445485921984667
235,reduction,1809,5000,580.601804,0.3618,2056.342914,3486.5882725524166,1289.6765796832192,3261.7891900817394,356.53779999999995,157.5,1119.2033099999999,305.5,1475.74111,463.0,76.375,0.41021343696122203
226,reduction,1709,4500,584.6068933333333,0.37977777777777777,2060.759323333333,3304.762466768165,1342.423615568973,3278.7958127760876,356.6314,157.5,1119.5210299999999,305.5,1476.1524299999999,463.0,76.375,0.376427400136683
239,reduction,1909,5000,585.057404,0.3818,2060.89027,3669.5533175754344,1345.1821319325106,3280.715994513306,356.55868,157.5,1119.2741859999999,305.5,1475.8328659999997,463.0,76.375,0.43838116205334726
234,reduction,1809,4500,589.55756,0.402,2065.815984,3497.9416803646873,1404.2404008313288,3299.764178878334,356.65551999999997,157.5,1119.6029039999999,305.5,1476.2584239999999,463.0,76.375,0.40941954647322115
229,reduction,1609,4000,589.613255,0.40225,2066.426961,3148.9256912409915,1408.8699903287643,3300.0290981077437,356.78188,157.5,1120.031826,305.5,1476.813706,463.0,76.375,0.3437676326412068
238,reduction,1909,4500,594.5082266666667,0.4242222222222222,2070.8599886666666,3682.2503187704883,1466.0354675616516,3320.6999784637146,356.67676,157.5,1119.675002,305.5,1476.351762,463.0,76.375,0.4376102085970811
225,reduction,1709,4000,595.182755,0.42725,2073.7187183108545,3317.287129501337,1478.5359633108542,3323.5952941599257,356.78403999999995,157.5,1120.0391579999998,305.5,1476.8231979999998,463.0,76.375,0.3748751201339086
233,reduction,1809,4000,600.752255,0.45225,2148.9939982676524,3511.714840690034,1548.2417432676523,3347.2126412001708,356.78764,157.5,1120.0513779999999,305.5,1476.839018,463.0,76.375,0.3880499710946388
228,reduction,1609,3500,602.4151485714285,0.45971428571428574,2177.438220557947,3170.8623502563914,1575.0230719865183,3354.305171058027,356.99428,157.5,1120.752806,305.5,1477.7470859999999,463.0,76.375,0.3132977783214455
237,reduction,1909,4000,606.321755,0.47725,2224.321168130162,3697.9900646909477,1617.9994131301617,3370.7600122182603,356.81032000000005,157.5,1120.1283640000001,305.5,1476.9386840000002,463.0,76.375,0.3985053693441832
224,reduction,1709,3500,608.7802914285714,0.48828571428571427,2263.7187580624723,3335.878790592203,1654.9384666339006,3381.2581830663567,356.98132000000004,157.5,1120.708814,305.5,1477.6901340000002,463.0,76.375,0.32140257480380313
232,reduction,1809,3500,615.1454342857143,0.5168571428571429,2350.137661226316,3532.110505040743,1734.9922269406018,3408.1871561798066,356.99896,157.5,1120.768692,305.5,1477.767652,463.0,76.375,0.33463642831321694
236,reduction,1909,3500,621.5105771428572,0.5454285714285714,2436.59499659638,3717.3502586412496,1815.084419453523,3435.128033634176,357.02056,157.5,1120.8420119999998,305.5,1477.8625719999998,463.0,76.375,0.3445344594762523
247,scalarProd,1609,5000,571.690604,0.3218,46519.94002041974,39378.49768251,45948.249416419734,204693.51818900742,1290.3673600000002,987.0,1384.9940800000002,617.0,2675.3614400000006,1604.0,154.25,0.18135385446869431
243,scalarProd,1709,5000,576.146204,0.3418,48777.990004634295,41859.229789293,48201.8438006343,205900.24988025313,1292.436112,987.0,1387.257236,617.0,2679.693348,1604.0,154.25,0.1652863717313551
246,scalarProd,1609,4500,579.6562266666667,0.35755555555555557,50592.332501185134,43184.084915461004,50012.67627451847,206854.79534713502,1292.4135520000002,987.0,1387.2325560000002,617.0,2679.6461080000004,1604.0,154.25,0.17155041261675058
251,scalarProd,1809,5000,580.601804,0.3618,50877.16775927925,44223.50481051826,50296.56595527925,207117.23985613146,1290.261328,987.0,1384.8780840000002,617.0,2675.1394120000004,1604.0,154.25,0.1504553512271253
242,scalarProd,1709,4500,584.6068933333333,0.37977777777777777,52978.55220872105,45761.801048964,52393.94531538772,208195.47537047561,1291.332928,987.0,1386.0503840000001,617.0,2677.383312,1604.0,154.25,0.15770251594851573
255,scalarProd,1909,5000,585.057404,0.3818,53091.759796771905,46526.17520754525,52506.702392771906,208315.81196842148,1291.177264,987.0,1385.8800919999999,617.0,2677.057356,1604.0,154.25,0.14111593226691663
250,scalarProd,1809,4500,589.55756,0.402,55418.42192685564,48304.35228934349,54828.86436685564,209540.1242952155,1291.554016,987.0,1386.292248,617.0,2677.846264,1604.0,154.25,0.1472759554853113
245,scalarProd,1609,4000,589.613255,0.40225,55604.5660938687,47737.657619540005,55014.9528388687,209557.13946519725,1292.13832,987.0,1386.93146,617.0,2679.06978,1604.0,154.25,0.16479460590685974
254,scalarProd,1909,4500,594.5082266666667,0.4242222222222222,57927.69111605937,51114.43740325999,57333.18288939271,210882.64261532496,1293.3024159999998,987.0,1388.2049479999998,617.0,2681.5073639999996,1604.0,154.25,0.1332941153014598
241,scalarProd,1709,4000,595.182755,0.42725,58401.474488657324,50783.496887156245,57806.29173365732,211067.5855248633,1293.31144,987.0,1388.21482,617.0,2681.5262599999996,1604.0,154.25,0.15000892156813558
