appName,coreF,memF,argNo,kernel,time/ms,blocks,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_store_transactions,shared_store_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,branch_efficiency,cf_executed,cf_issued,flop_count_sp,flop_sp_efficiency,gld_throughput,gld_transactions,gst_throughput,gst_transactions,inst_issued,inst_per_warp,ipc
convolutionSeparable,1800,5000,input00,convolutionRowsKernel,0.467821,(24 768 1) (16 4 1),0.950377,1,0.984,2.075736,1179706,162.5,1177587,131.11,1462506,162.41,1179661,130.95,9510912,4237.3,737280,327.33,0.5,162.3,1462272,1,110592,110592,320864256,0.1168,162.41,2924544,131.02,1179648,12055733,326.916667,1.147777
convolutionSeparable,1900,3500,input00,convolutionRowsKernel,0.623116,(24 768 1) (16 4 1),0.873289,1,0.981,1.428656,1179931,121.43,1177706,122.16,1462474,151.42,1179661,122.09,9510912,3911,737280,304.73,0.5,151.09,1462272,1,110592,110592,320864256,0.1071,150.05,2924544,121.05,1179648,12055125,326.916667,1.059987
convolutionSeparable,1900,4000,input00,convolutionRowsKernel,0.545311,(24 768 1) (16 4 1),0.939963,1,0.984,2.066359,1179691,131.16,1177628,130.95,1462469,161.93,1179661,130.62,9510912,4232.4,737280,326.5,0.5,161.89,1462272,1,110592,110592,320864256,0.1161,174.81,2924544,141.02,1179648,12055141,326.916667,1.142553
convolutionSeparable,1900,4500,input00,convolutionRowsKernel,0.48166,(24 768 1) (16 4 1),0.947197,1,0.9844,2.109903,1179679,131.51,1177655,131.29,1462506,162.57,1179661,131.07,9510912,4242.7,737280,327.56,0.5,162.41,1462272,1,110592,110592,320864256,0.1158,197.99,2924544,159.73,1179648,12055514,326.916667,1.145398
convolutionSeparable,1900,5000,input00,convolutionRowsKernel,0.443034,(24 768 1) (16 4 1),0.950132,1,0.984,2.122432,1179695,131.77,1177505,131.47,1462472,162.87,1179661,131.32,9510912,4249.5,737280,328.33,0.5,162.79,1462272,1,110592,110592,320864256,0.1168,162.86,2924544,131.38,1179648,12055529,326.916667,1.14742
convolutionTexture,1600,3500,input00,convolutionRowsKernel,0.359199,(192 128 1) (16 12 1),0.828297,1,0.9874,1.290544,589856,55.206,588971,55.108,1176745,110.57,589839,55.407,0,0,0,0,0.95,1883,20054016,1,294912,294912,250085376,0.0776,0,0,55.413,589824,14013581,95,1.123592
convolutionTexture,1600,4000,input00,convolutionRowsKernel,0.332003,(192 128 1) (16 12 1),0.829076,1,0.9869,1.363991,589851,59.028,588970,58.942,1176767,118.03,589837,59.146,0,0,0,0,0.95,1993.8,20054016,1,294912,294912,250085376,0.0826,0,0,58.679,589824,14013436,95,1.197754
convolutionTexture,1600,4500,input00,convolutionRowsKernel,0.321979,(192 128 1) (16 12 1),0.830261,1,0.9865,1.420739,589852,60.867,588953,60.775,1176760,121.49,589837,60.88,0,0,0,0,0.95,2069.5,20054016,1,294912,294912,250085376,0.0857,0,0,60.905,589824,14013340,95,1.245033
convolutionTexture,1600,5000,input00,convolutionRowsKernel,0.304669,(192 128 1) (16 12 1),0.830758,1,0.9863,1.446556,589863,62.907,588987,62.816,1176749,125.42,589837,62.85,0,0,0,0,0.95,2137.3,20054016,1,294912,294912,250085376,0.0874,0,0,62.889,589824,14013262,95,1.270818
convolutionTexture,1700,3500,input00,convolutionRowsKernel,0.348004,(192 128 1) (16 12 1),0.828451,1,0.9874,1.287192,589851,55.374,588971,55.27,1176751,110.88,589837,55.561,0,0,0,0,0.95,1889.6,20054016,1,294912,294912,250085376,0.0774,0,0,55.587,589824,14013639,95,1.120075
