,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
34,fastWalshTransform,810,715,0.0,0.0,16.0001277923584,17.2821307182312,0.9985763479746649,0.0014236520253351204,33.2822585105896,31.7177414894104,0.822154,308.8675174825175,2.69789931047973,0.0,16.0,8.0,0.0
30,fastWalshTransform,1012,715,0.0,0.0,16.000149250030518,17.414822101593018,0.9988569455048366,0.001143054495163387,33.414971351623535,31.585028648376465,0.8309200000000001,316.73492307692305,3.370708768154922,0.0,16.0,8.0,0.0
31,fastWalshTransform,1202,715,0.0,0.0,16.000138759613037,17.742234230041504,0.9986571632855274,0.0013428367144725506,33.74237298965454,31.25762701034546,0.836925,324.13495804195804,4.003549347156341,0.0,16.0,8.0,0.0
32,fastWalshTransform,1328,715,0.0,0.0,16.000164031982422,17.89036750793457,1.0,0.0,33.89053153991699,31.109468460083008,0.83973,329.04234965034965,4.423222573230965,0.0,16.0,8.0,0.0
38,histogram,607,715,48100.14027777778,24054.07013888889,5825.656944444445,5.342361111111111,1.0,0.0,59944.657118055555,76645.34288194444,0.402363,300.9611643356643,2.0217591129150567,72154.21041666667,5825.422222222222,0.0,0.0
39,histogram,810,715,48100.14027777778,24054.07013888889,5825.6611111111115,111.63680555555555,1.0,0.0,60050.95572916667,76539.04427083333,0.402598,308.8675174825175,2.69789931047973,72154.21041666667,5825.422222222222,0.0,0.0
35,histogram,1012,715,48100.14027777778,24054.07013888889,5825.659027777778,81.44236111111111,1.0,0.0,60020.75920138889,76569.2407986111,0.402281,316.73492307692305,3.370708768154922,72154.21041666667,5825.422222222222,0.0,0.0
36,histogram,1202,715,48100.14027777778,24054.07013888889,5825.721527777778,5.342361111111111,1.0,0.0,59944.72170138889,76645.27829861111,0.401914,324.13495804195804,4.003549347156341,72154.21041666667,5825.422222222222,0.0,0.0
37,histogram,1328,715,48100.14027777778,24054.07013888889,5825.636805555556,5.342361111111111,1.0,0.0,59944.636979166666,76645.36302083333,0.402514,329.04234965034965,4.423222573230965,72154.21041666667,5825.422222222222,0.0,0.0
43,hotspot,607,715,20.890625,7.453125,11.471099853515625,1.000396728515625,0.1673738456343322,0.8326261543656678,35.22540283203125,344.61053516796875,0.715735,300.9611643356643,2.0217591129150567,28.34375,7.9375,29.800994873046875,13.651741027832031
44,hotspot,810,715,20.890625,7.453125,11.485260009765625,1.000396728515625,0.16744311099161635,0.8325568890083836,35.23956298828125,344.59637501171875,0.7148260000000001,308.8675174825175,2.69789931047973,28.34375,7.9375,29.800994873046875,13.651741027832031
40,hotspot,1012,715,20.890625,7.453125,11.488037109375,1.000396728515625,0.16689026222994421,0.8331097377700558,35.242340087890625,344.5935979121094,0.714406,316.73492307692305,3.370708768154922,28.34375,7.9375,29.800994873046875,13.651741027832031
