,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts
400,mergeSort,1000,800,231.20025634765625,87.236328125,16.87493896484375,16.0003662109375,0.9668306013972512,0.03316939860274881,285.8846435546875,1224.1153564453125,0.976873,555.7950000000001,11.478109375,318.43658447265625,16.0,0.0,0.0
401,mergeSort,1000,900,231.20025634765625,87.236328125,16.44720458984375,16.0003662109375,0.9776871116829471,0.022312888317052915,285.4569091796875,1224.5430908203125,0.97651,524.8533333333334,10.078530864197532,318.43658447265625,16.0,0.0,0.0
396,mergeSort,1000,1000,231.20025634765625,87.236328125,16.03997802734375,16.0003662109375,0.992841209336526,0.007158790663474024,285.0496826171875,1224.9503173828125,0.9765020000000001,500.1,8.98123,318.43658447265625,16.0,0.0,0.0
439,nn,500,500,0.0,0.0,16.00616455078125,4.00018310546875,0.594078722573402,0.405921277426598,20.00634765625,20.99365234375,0.9126110000000001,500.1,9.78626,0.0,8.0,10.0,0.0
440,nn,500,600,0.0,0.0,16.006256103515625,4.00018310546875,0.5934078841193402,0.4065921158806598,20.006439208984375,20.993560791015625,0.9067299999999999,462.97,7.931597222222222,0.0,8.0,10.0,0.0
441,nn,500,700,0.0,0.0,16.004730224609375,4.00018310546875,0.5945347288645215,0.4054652711354785,20.004913330078125,20.995086669921875,0.9033909999999999,436.4485714285714,6.661602040816327,0.0,8.0,10.0,0.0
442,nn,500,800,0.0,0.0,16.005126953125,4.00018310546875,0.5956258561722199,0.40437414382778014,20.00531005859375,20.99468994140625,0.898862,416.5575,5.7390546875,0.0,8.0,10.0,0.0
443,nn,500,900,0.0,0.0,16.00616455078125,4.000274658203125,0.5965837415016833,0.40341625849831675,20.006439208984375,20.993560791015625,0.892775,401.08666666666664,5.039265432098766,0.0,8.0,10.0,0.0
438,nn,500,1000,0.0,0.0,16.006866455078125,4.00018310546875,0.5970917843594559,0.40290821564054413,20.007049560546875,20.992950439453125,0.8901180000000001,388.71,4.490615,0.0,8.0,10.0,0.0
445,nn,600,500,0.0,0.0,16.005401611328125,4.00018310546875,0.5944690127115994,0.40553098728840065,20.005584716796875,20.994415283203125,0.9146479999999999,544.656,11.743512,0.0,8.0,10.0,0.0
446,nn,600,600,0.0,0.0,16.006500244140625,4.00018310546875,0.5924945734991511,0.40750542650084887,20.006683349609375,20.993316650390625,0.909272,500.1,9.517916666666666,0.0,8.0,10.0,0.0
447,nn,600,700,0.0,0.0,16.006195068359375,4.00018310546875,0.5932739345515118,0.4067260654484882,20.006378173828125,20.993621826171875,0.9065110000000001,468.2742857142857,7.993922448979591,0.0,8.0,10.0,0.0
