,appName,coreF,memF,n_shm_ld,n_shm_st,n_gld,n_gst,l2_miss,l2_hit,mem_insts,insts,act_util,L_DM,D_DM,n_shm,tex_trans,fp_insts,dp_insts,int_insts,branch_insts
25,convolutionTexture,1087,877,0.0,0.0,7.87698331381733,4.186276285616706,0.6626579056789788,0.33734209432102125,12.063259599434037,82.87585040056597,0.876094,166.36057012542759,3.4537306518152353,0.0,137.89383294301328,35.97189695550351,0.0,11.996877439500391,0.4685792349726776
26,convolutionTexture,1237,877,0.0,0.0,7.876208772443404,4.084381098750976,0.6683448367644764,0.3316551632355236,11.96058987119438,82.97852012880563,0.8762059999999999,170.93240592930442,3.930326417935093,0.0,137.89383294301328,35.97189695550351,0.0,11.996877439500391,0.4685792349726776
27,convolutionTexture,1380,877,0.0,0.0,7.872508660226385,3.996882318501171,0.6734809361605791,0.32651906383942086,11.869390978727557,83.06971902127245,0.875768,175.29088939566702,4.38468104830269,0.0,137.89383294301328,35.97189695550351,0.0,11.996877439500391,0.4685792349726776
33,fastWalshTransform,802,877,0.0,0.0,16.000077724456787,16.889516353607178,0.9729473269808581,0.027052673019141937,32.889594078063965,12.110405921936035,0.914892,157.67408209806155,2.5481986961875056,0.0,5.0,8.0,0.0,21.0,0.25
34,fastWalshTransform,945,877,0.0,0.0,16.000082969665527,16.905792236328125,0.9724655710412534,0.027534428958746582,32.90587520599365,12.094124794006348,0.9142299999999999,162.03256556442417,3.0025533265551037,0.0,5.0,8.0,0.0,21.0,0.25
30,fastWalshTransform,1087,877,0.0,0.0,16.00008535385132,17.047001361846924,0.968309999583867,0.03169000041613301,33.04708671569824,11.952913284301758,0.9198120000000001,166.36057012542759,3.4537306518152353,0.0,5.0,8.0,0.0,21.0,0.25
31,fastWalshTransform,1237,877,0.0,0.0,16.000072479248047,17.218040943145752,0.9633242737262173,0.03667572627378268,33.2181134223938,11.781886577606201,0.924434,170.93240592930442,3.930326417935093,0.0,5.0,8.0,0.0,21.0,0.25
32,fastWalshTransform,1380,877,0.0,0.0,16.000094413757324,17.409104824066162,0.9578145285645221,0.042185471435477906,33.409199237823486,11.590800762176514,0.92769,175.29088939566702,4.38468104830269,0.0,5.0,8.0,0.0,21.0,0.25
38,histogram,802,877,48100.290972222225,24054.07013888889,5825.570833333333,851.2520833333333,0.874030760430074,0.125969239569926,60790.631423611114,77259.3685763889,0.280727,157.67408209806155,2.5481986961875056,72154.36111111111,24035.458333333332,0.0,0.0,50973.517100694444,3277.6467881944445
39,histogram,945,877,48100.29236111111,24054.07013888889,5825.554861111111,205.39583333333334,0.9676483657392785,0.03235163426072152,60144.76059027778,77905.23940972221,0.28073899999999996,162.03256556442417,3.0025533265551037,72154.3625,24035.458333333332,0.0,0.0,50973.517100694444,3277.6467881944445
35,histogram,1087,877,48100.29861111111,24054.07013888889,5825.575,5.344444444444444,1.0,0.0,59944.73559027778,78105.26440972222,0.280733,166.36057012542759,3.4537306518152353,72154.36875,24035.458333333332,0.0,0.0,50973.517100694444,3277.6467881944445
36,histogram,1237,877,48100.29375,24054.07013888889,5825.5263888888885,5.344444444444444,1.0,0.0,59944.682118055556,78105.31788194444,0.280736,170.93240592930442,3.930326417935093,72154.36388888888,24035.458333333332,0.0,0.0,50973.517100694444,3277.6467881944445
37,histogram,1380,877,48100.29027777778,24054.07013888889,5825.5055555555555,5.344444444444444,1.0,0.0,59944.6578125,78105.3421875,0.280713,175.29088939566702,4.38468104830269,72154.36041666666,24035.458333333332,0.0,0.0,50973.517100694444,3277.6467881944445
43,hotspot,802,877,21.398040771484375,7.67950439453125,11.593353271484375,1.00048828125,0.026902526201005635,0.9730974737989944,35.91175842285156,337.5486905771485,0.685393,157.67408209806155,2.5481986961875056,29.077545166015625,25.45538330078125,29.800994873046875,13.651741027832031,143.70885467529297,5.5644378662109375
44,hotspot,945,877,21.393707275390625,7.679840087890625,11.58697509765625,1.00048828125,0.02721436433548462,0.9727856356645154,35.90113067626953,337.5593183237305,0.685271,162.03256556442417,3.0025533265551037,29.07354736328125,25.454925537109375,29.800994873046875,13.651741027832031,143.70885467529297,5.5644378662109375
40,hotspot,1087,877,21.399261474609375,7.679534912109375,11.598968505859375,1.00048828125,0.02579088744583502,0.974209112554165,35.918601989746094,337.54184701025395,0.685114,166.36057012542759,3.4537306518152353,29.07879638671875,25.457275390625,29.800994873046875,13.651741027832031,143.70885467529297,5.5644378662109375
41,hotspot,1237,877,21.401123046875,7.677947998046875,11.59234619140625,1.00048828125,0.030600375143586937,0.9693996248564131,35.91344451904297,337.54700448095707,0.685135,170.93240592930442,3.930326417935093,29.079071044921875,25.455047607421875,29.800994873046875,13.651741027832031,143.70885467529297,5.5644378662109375
42,hotspot,1380,877,21.39990234375,7.67877197265625,11.6036376953125,1.00048828125,0.025895131376328047,0.974104868623672,35.92372131347656,337.5367276865235,0.685154,175.29088939566702,4.38468104830269,29.07867431640625,25.455596923828125,29.800994873046875,13.651741027832031,143.70885467529297,5.5644378662109375
48,matrixMulGlobal,802,877,0.0,0.0,486.56764221191406,4.000541687011719,0.23156665936181745,0.7684333406381826,490.5681838989258,17459.431816101074,0.9868399999999999,157.67408209806155,2.5481986961875056,0.0,4098.0,2048.0,0.0,10762.929916381836,97.09375
49,matrixMulGlobal,945,877,0.0,0.0,486.7255630493164,4.00018310546875,0.2313678684081669,0.7686321315918331,490.72574615478516,17459.274253845215,0.98731,162.03256556442417,3.0025533265551037,0.0,4098.0,2048.0,0.0,10762.929916381836,97.09375
45,matrixMulGlobal,1087,877,0.0,0.0,486.4054183959961,4.0001220703125,0.23098841781073232,0.7690115821892677,490.4055404663086,17459.59445953369,0.987617,166.36057012542759,3.4537306518152353,0.0,4098.0,2048.0,0.0,10762.929916381836,97.09375
46,matrixMulGlobal,1237,877,0.0,0.0,485.706787109375,4.0001220703125,0.2310766576787425,0.7689233423212575,489.7069091796875,17460.293090820312,0.9873569999999999,170.93240592930442,3.930326417935093,0.0,4098.0,2048.0,0.0,10762.929916381836,97.09375
47,matrixMulGlobal,1380,877,0.0,0.0,484.7030258178711,4.0001220703125,0.23121923137069425,0.7687807686293058,488.7031478881836,17461.296852111816,0.988266,175.29088939566702,4.38468104830269,0.0,4098.0,2048.0,0.0,10762.929916381836,97.09375
53,matrixMulShared,802,877,3073.0359115600586,144.55943298339844,511.2391891479492,4.0001220703125,0.417453932123441,0.582546067876559,3624.41508102417,2105.58491897583,0.993316,157.67408209806155,2.5481986961875056,3217.595344543457,3204.0,2048.0,0.0,465.0,12.53125
54,matrixMulShared,945,877,3073.0246963500977,144.76283264160156,511.1646270751953,4.0001220703125,0.41006235827748355,0.5899376417225164,3624.380153656006,2105.619846343994,0.993283,162.03256556442417,3.0025533265551037,3217.787528991699,3204.0,2048.0,0.0,465.0,12.53125
50,matrixMulShared,1087,877,3073.0379486083984,144.5762176513672,510.77374267578125,4.0001220703125,0.4178033875757272,0.5821966124242728,3623.955867767334,2106.044132232666,0.9932709999999999,166.36057012542759,3.4537306518152353,3217.6141662597656,3204.0,2048.0,0.0,465.0,12.53125
51,matrixMulShared,1237,877,3073.056007385254,144.59341430664062,510.6295471191406,4.0001220703125,0.4213227059691752,0.5786772940308248,3623.834030151367,2106.165969848633,0.993186,170.93240592930442,3.930326417935093,3217.6494216918945,3204.0,2048.0,0.0,465.0,12.53125
52,matrixMulShared,1380,877,3073.0391235351562,144.033935546875,510.2533187866211,4.0001220703125,0.41978733766949067,0.5802126623305093,3623.3010482788086,2106.6989517211914,0.993123,175.29088939566702,4.38468104830269,3217.0730590820312,3204.0,2048.0,0.0,465.0,12.53125
58,mergeSort,802,877,235.2912139892578,87.68032836914062,16.001480102539062,16.000244140625,0.9952523882294322,0.004747611770567817,289.21302032470703,1336.786979675293,0.9696290000000001,157.67408209806155,2.5481986961875056,322.97154235839844,159.0,0.0,0.0,993.0,27.96875
59,mergeSort,945,877,235.29812622070312,87.69906616210938,16.00225830078125,16.000244140625,0.9952310476818944,0.00476895231810559,289.2253952026367,1336.7746047973633,0.9698379999999999,162.03256556442417,3.0025533265551037,322.9971923828125,159.0,0.0,0.0,993.0,27.96875
55,mergeSort,1087,877,235.29727172851562,87.70899963378906,16.002182006835938,16.000244140625,0.9952410491338671,0.004758950866132872,289.2269477844238,1336.7730522155762,0.968744,166.36057012542759,3.4537306518152353,323.0062713623047,159.0,0.0,0.0,993.0,27.96875
56,mergeSort,1237,877,235.2828369140625,87.70561218261719,16.00238037109375,16.000244140625,0.9952301122764056,0.004769887723594435,289.21186447143555,1336.7881355285645,0.969462,170.93240592930442,3.930326417935093,322.9884490966797,159.0,0.0,0.0,993.0,27.96875
57,mergeSort,1380,877,235.27159118652344,87.71421813964844,16.001495361328125,16.000244140625,0.9953181904441306,0.004681809555869387,289.2018852233887,1336.7981147766113,0.9702219999999999,175.29088939566702,4.38468104830269,322.9858093261719,159.0,0.0,0.0,993.0,27.96875
63,nn,802,877,0.0,0.0,8.000377655029297,4.00006103515625,0.9996194978579669,0.0003805021420331123,12.000438690185547,19.999561309814453,0.868869,157.67408209806155,2.5481986961875056,0.0,3.0,10.0,0.0,7.0,0.71875
