,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput.1,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_fp_64,inst_executed,inst_per_warp,ipc,power/W
38,convolutionSeparable,802,877,input00,convolutionRowsKernel,2.1645,(80 2560 1) (16 4 1),409600.0,0.9685809999999999,0.9961,1.0,6.193567,1.0,3276800,224.24,16314189,3.99327,179.99,13107200,4.0,0.2268,13614618,186.22,13106931,198.24,16208799,222.61,14430729,180.2,111084114,6110.5,2.102796,8329143,457.94,2.033574,222.82,16200519,180.06,180.04,0.0048,3274.6,59524935,0,0,3565158400.0,1782579200,0,183500800.0,1782579200,0,130662400,319.0,0.9422200000000001,110.47483999999999
39,convolutionSeparable,945,877,input00,convolutionRowsKernel,1.8244,(80 2560 1) (16 4 1),409600.0,0.968576,0.9961,1.0,6.190539,1.0,3276800,264.05,16314642,3.993519,213.48,13107200,4.0,0.2266,13609028,220.47,13106704,234.89,16203760,263.78,14423432,212.18,111092723,7244.5,2.102615,8327067,539.98,2.032833,264.51,16211840,213.35,213.52,0.0045000000000000005,3879.2,59526009,0,0,3565158400.0,1782579200,0,183500800.0,1782579200,0,130662400,319.0,0.9414379999999999,124.95686
35,convolutionSeparable,1087,877,input00,convolutionRowsKernel,1.6052,(80 2560 1) (16 4 1),409600.0,0.96859,0.9959,1.0,6.176657,1.0,3276800,302.18,16317202,3.994043,242.28,13107200,4.0,0.2266,13608233,250.77,13107008,266.81,16201218,299.5,14423125,242.76,111052530,8231.5,2.102178,8319647,616.28,2.031098,299.84,16200896,242.18,242.18,0.0045000000000000005,4409.9,59532406,0,0,3565158400.0,1782579200,0,183500800.0,1782579200,0,130662400,319.0,0.9366,143.31826999999996
36,convolutionSeparable,1237,877,input00,convolutionRowsKernel,1.4224,(80 2560 1) (16 4 1),409600.0,0.968076,0.9957,1.0,6.133628,1.0,3276800,340.57,16319430,3.9945699999999995,273.02,13107200,4.0,0.227,13618512,282.75,13106904,300.74,16192755,337.12,14430856,273.75,111026894,9275.2,2.101432,8311678,694.41,2.029161,338.25,16190683,273.01,272.98,0.0053,4971.9,59539270,0,0,3565158400.0,1782579200,0,183500800.0,1782579200,0,130662400,319.0,0.928356,174.54704999999996
37,convolutionSeparable,1380,877,input00,convolutionRowsKernel,1.2849,(80 2560 1) (16 4 1),409600.0,0.967664,0.9954,1.0,6.066006,1.0,3276800,376.98,16322152,3.995222,300.78,13107200,4.0,0.2269,13646913,313.35,13107062,331.96,16181442,371.5,14449461,302.87,110996709,10000.0,2.1007569999999998,8303508,767.2,2.0272240000000004,373.54,16179669,300.91,300.83,0.0054,5498.7,59548498,0,0,3565158400.0,1782579200,0,183500800.0,1782579200,0,130662400,319.0,0.916062,181.33799
43,convolutionTexture,802,877,input00,convolutionRowsKernel,7.2882,(640 854 1) (16 12 1),3279360.0,0.8794129999999999,0.999,1.0,2.2697700000000003,1.0,49172480,0.0,0,0.0,53.276,13107200,4.0,0.0131,13107568,53.52,13107420,61.176,25846492,105.05,15042904,53.518,0,0.0,0.0,0,0.0,0.0,105.54,25845079,53.292,53.34,0.9496,3746.3,452203520,0,0,5557452800.0,1782579200,0,1258946560.0,3774873600,0,311339520,94.93911,0.665157,80.27811999999999
44,convolutionTexture,945,877,input00,convolutionRowsKernel,6.1715,(640 854 1) (16 12 1),3279360.0,0.878934,0.9989,1.0,2.2572080000000003,1.0,49172480,0.0,0,0.0,62.463,13107200,4.0,0.0132,13107368,62.843999999999994,13107221,73.827,25844529,123.37,14692828,62.841,0,0.0,0.0,0,0.0,0.0,123.92,25839813,62.61,62.743,0.9496,4399.5,452203520,0,0,5557452800.0,1782579200,0,1258946560.0,3774873600,0,311339520,94.93911,0.663198,89.40238999999998
40,convolutionTexture,1087,877,input00,convolutionRowsKernel,5.5275,(640 854 1) (16 12 1),3279360.0,0.876094,0.9989,1.0,2.203737,1.0,49172480,0.0,0,0.0,70.082,13107200,4.0,0.0137,13107376,70.641,13107219,75.101,25831464,138.78,13728307,70.642,0,0.0,0.0,0,0.0,0.0,139.25,25832733,70.434,70.597,0.9496,4944.9,452203520,0,0,5557452800.0,1782579200,0,1258946560.0,3774873600,0,311339520,94.93911,0.647889,104.44426
41,convolutionTexture,1237,877,input00,convolutionRowsKernel,4.9926,(640 854 1) (16 12 1),3279360.0,0.8762059999999999,0.9989,1.0,2.1454020000000003,1.0,49172480,0.0,0,0.0,77.51,13107200,4.0,0.0139,13107329,78.21600000000001,13107214,82.249,25828924,153.89,13394156,78.214,0,0.0,0.0,0,0.0,0.0,154.11,25825213,78.149,78.204,0.9496,5475.1,452203520,0,0,5557452800.0,1782579200,0,1258946560.0,3774873600,0,311339520,94.93911,0.630314,108.10734000000002
42,convolutionTexture,1380,877,input00,convolutionRowsKernel,4.6008,(640 854 1) (16 12 1),3279360.0,0.875768,0.9989,1.0,2.076883,1.0,49172480,0.0,0,0.0,83.99600000000001,13107200,4.0,0.0145,13107351,84.833,13107225,87.06200000000001,25816790,167.09,13107216,84.831,0,0.0,0.0,0,0.0,0.0,167.1,25816186,84.833,84.83,0.9497,5939.8,452203520,0,0,5557452800.0,1782579200,0,1258946560.0,3774873600,0,311339520,94.93911,0.610428,131.94731000000002
